RevenuePerDay,NCustomersPerDay,AverageOrderValue,WorkingHoursPerDay,NEmployees,MarketingSpendPerDay,LocationFootTraffic
2274.07,480,3.76,13,10,249.07,909
865.78,180,3.28,15,5,110.09,397
2579.68,306,7.27,6,10,317.13,847
684.09,54,7.8,7,13,185.78,67
1799.25,267,2.74,7,8,497.87,93
3396.19,304,9.52,8,4,245.29,204
1411.72,447,2.89,11,8,248.08,916
2962.18,408,6.56,6,2,287.27,971
3400.31,332,7.82,7,4,459.21,426
4038.73,442,9.03,6,7,402.4,792
2206.15,256,7.86,10,5,231.05,932
1234.19,64,8.51,12,8,362.16,877
1838.19,395,5.05,13,4,297.26,451
1247.76,91,8.61,15,2,251.26,274
1135.57,429,3.1,6,10,104.23,266
2284.35,228,9.21,12,7,237.33,617
1090.83,112,6.61,10,9,130.45,80
3324.14,401,8.63,15,4,458.27,918
1902.98,280,5.89,6,9,174.35,108
3035.71,290,7.33,8,3,476.61,941
886.44,101,6.45,12,13,271.2,947
1637.22,145,7.99,15,5,319.46,402
1904.28,437,3.11,6,4,276.04,984
511.02,271,2.95,12,11,73.4,494
2227.94,456,4.35,10,2,194.15,284
1225.02,280,3.7,6,14,58.58,156
2927.5,286,9.04,6,14,315.25,240
1076.17,192,4.14,6,8,228.97,579
2331.09,220,9.82,16,12,391.21,962
808.44,78,5.03,14,11,118.03,787
438.92,85,3.87,16,3,90.64,728
602.71,62,8.42,8,5,209.1,632
2031.9,209,7.44,10,10,464.03,923
2722.46,376,6.24,16,7,358.11,615
1427.38,236,6.67,15,9,215.27,294
2472.27,292,7.89,17,3,263.46,911
505.03,135,4.21,14,8,51.26,125
3993.87,333,9.97,11,7,492.44,596
1145.17,115,9.81,17,14,336.54,316
1867.12,219,7.38,14,10,149.85,366
1067.39,94,4,13,8,297.05,861
487.3,111,7.6,13,2,63.65,170
1722.09,490,3.04,6,9,483.26,885
950.27,183,2.73,14,12,95.64,74
1638.09,333,4.43,11,11,327.53,481
1228.09,77,5.97,14,4,130.27,209
1454.36,157,9.01,8,3,361.61,645
1285.38,93,7.95,17,13,390.64,163
3330.6,389,8.07,8,4,339.98,784
2140.55,335,5.69,11,12,311.1,949
3031.15,495,5.09,14,7,447.31,551
1982.68,380,5.28,12,14,48.53,215
1803.36,177,9.91,8,4,172.15,752
995.1,397,2.8,8,11,131.66,224
3218.75,280,9,7,6,494.13,50
1898.09,239,6.84,14,7,200.8,948
2004.2,274,5.79,8,9,368.98,790
3738.92,434,7.94,16,8,345.52,135
2682.58,426,6.15,10,12,113.92,623
2742.46,332,9.05,14,9,127.11,369
4459.21,495,9.26,13,4,147.83,450
1072.55,170,5.66,7,5,211.45,431
1027.77,165,4.58,8,7,124.82,767
1752.34,282,6.94,7,12,19.63,666
3372.74,308,9.34,13,8,440.9,367
2136.14,408,4.08,11,10,483.15,852
1992.69,247,7.17,11,14,177.37,299
3065.41,460,7.24,17,2,175.87,574
1366.64,186,8,14,14,13.47,724
1863.85,367,3.49,13,9,343.32,604
2230.91,214,7.87,9,9,414.47,947
2459.48,274,9.32,17,7,81.84,672
1726.61,356,3.85,9,5,88.24,766
1890.55,283,4.28,14,4,397.14,945
2586.31,221,9.79,6,12,311.98,305
877.85,201,3.86,7,4,31.98,356
3548.03,364,8.91,7,7,315.05,999
2930.01,423,6.19,11,14,161.37,193
1020.72,209,4.35,9,9,190.68,707
1961.05,145,9.03,16,8,387.17,440
2164.53,282,5.84,15,12,407.36,862
1543.43,229,6.36,8,2,206.17,725
1447.91,162,5.19,8,12,474.1,218
2653.17,367,6.95,8,7,209.17,347
2058.6,491,3.73,11,8,388.2,282
1037.04,101,5.43,13,13,247.1,952
3441.5,317,9.77,16,8,449.79,320
2073.81,344,4.44,12,10,454.8,109
3259.53,435,7.43,9,12,52.83,345
2667.73,436,4.94,16,12,468.88,516
2142.44,162,8.3,17,11,414.51,284
961.45,150,3.48,9,6,397.74,726
1367.73,162,9.77,16,2,108.45,755
3145.36,489,5.9,15,3,404.51,283
576.5,130,4.27,16,5,426.57,417
1056.49,236,3.05,16,6,151.68,744
1056.8,162,3.77,16,10,476.61,894
221.87,51,6.4,7,12,34.43,281
1078.78,179,5.03,6,2,83.46,922
2545.05,269,8.72,14,4,273.41,540
881.27,103,5.73,17,6,292.14,668
1623.61,392,4.37,17,4,326.12,552
2039.47,273,7.13,7,5,18.31,939
2788.97,274,7.8,13,4,480.58,784
1923.67,434,3.75,14,5,31.85,641
1530.44,452,3.76,9,14,80.1,795
172.26,175,2.78,13,14,16.87,430
1922.61,179,8.02,14,2,287.76,745
1349.27,102,7.48,15,13,466.81,477
1835.43,221,6.06,15,9,336.31,746
3065.48,267,8.83,10,5,413.1,695
1708.77,209,8.54,12,8,16.51,781
1978.49,247,6.89,15,3,275.59,849
4169.47,465,9.01,9,3,235.19,413
1130.54,296,4.04,6,7,254.49,251
1410.92,373,3.34,8,3,45.38,931
2737.66,488,4.52,10,7,345.37,195
1155.51,252,2.93,8,12,256.58,885
1633.16,233,6.48,17,3,384.92,688
1821.15,172,9.52,16,5,247.79,506
1546.51,450,2.8,12,8,83.2,184
1314.04,304,3.42,17,9,327.65,675
2196.8,343,5.89,14,4,94.47,313
3480.17,329,9.5,17,14,437.47,113
2247.39,374,4.87,11,10,310.43,540
2435.19,421,6.3,15,3,87.03,696
1110.96,147,2.81,6,9,481.55,90
1285.85,247,3.61,12,9,264,345
3807.97,444,9.9,8,14,45.72,52
3063.88,289,9.74,10,5,317.15,962
104.6,193,2.54,15,2,134.07,755
1752.11,146,9.64,9,14,403.81,159
2365.12,250,7.29,15,2,410.73,270
2361.43,173,9.01,10,3,489.68,419
1733.71,236,5.91,10,13,255.92,417
2221.21,375,6.37,11,10,232.93,485
2985.47,398,6.17,15,14,379.2,967
1963.54,308,7.5,17,3,74.91,53
1169.24,197,3.55,15,3,277.99,293
932.17,301,2.72,16,7,277.66,951
2055.99,492,4.81,11,8,53.84,215
3419.1,469,7.79,13,14,214.81,75
2301.22,452,4.01,13,8,428.11,444
3289.2,395,7.55,16,14,429.52,523
1913.15,196,9.77,14,10,58.63,66
645.31,197,3.2,13,7,54.45,777
2625.69,401,7.54,16,9,138.72,141
2014.38,248,5.83,7,12,438.64,532
2652.22,357,9.01,17,7,73.16,592
1973.73,466,3.83,15,3,362.8,254
3290.21,473,7.69,17,2,59.57,551
1786.62,177,8.79,16,6,315.34,980
705.96,88,9.58,6,10,184.47,449
3523.13,387,7.62,15,9,396.57,256
2809.63,409,6.23,7,14,124.51,668
2077.2,178,7.13,7,5,323.21,195
2983.04,316,9.02,17,6,125.48,928
3450.43,490,6.78,8,14,359.69,150
1761.35,483,2.73,15,6,438.1,929
1721.02,200,9.48,12,7,72.13,879
4252.06,464,7.67,7,4,434.63,929
2792.28,347,7.57,6,6,300.85,290
911.05,148,4.12,11,3,72.28,972
2656.69,312,7.44,14,11,219.5,808
1647.54,301,5.45,8,2,88.82,212
1521.33,193,7.38,11,12,353.17,933
1727.14,395,3.3,8,2,381.85,222
1198.76,161,7.43,6,11,61.84,551
1623.6,109,10,17,8,258.01,596
1693.58,418,2.86,10,3,409.17,333
912.56,51,9.83,15,5,468.72,408
2757.84,434,5.55,16,6,261.62,430
3536.78,353,9.03,9,8,475.64,919
2182.18,303,8.37,12,3,272.49,954
1517.9,189,6.75,11,7,203.15,960
1360.88,86,8.04,15,2,425.62,582
1918.58,209,9.09,12,8,251.56,869
612.1,58,5.53,10,10,241.23,212
1763.23,282,4.95,9,6,250.25,658
1704.07,148,7.51,12,6,424.92,356
1823.93,196,8.56,12,5,417.65,388
3173.78,353,8.22,11,4,207.72,104
2562.67,257,8.48,13,10,173.32,382
1209.26,180,5.77,9,6,251.04,176
3572.47,453,8.63,15,9,290.66,989
959.47,201,3.4,10,10,126.79,754
1073.91,103,6.58,9,6,399.04,292
865.99,169,2.54,17,11,248.38,910
1632.72,210,4.93,6,10,173.68,649
1943.57,457,5.25,17,3,62.34,897
843.52,165,5.47,13,10,127.03,458
1535.38,124,7.72,6,12,475.15,552
1286.36,162,5.41,10,5,159.5,776
3327.96,469,5.87,11,7,92.74,653
2217.3,471,4.28,11,7,235.73,352
644.07,153,5.3,10,7,160.47,513
1442.16,389,4.2,8,3,27.23,284
929.27,303,3.05,10,8,168.34,745
2305.48,276,7.03,17,14,276.61,87
1584.09,161,7.51,13,7,280.34,188
1021.08,148,7.15,7,12,184.71,244
1264.24,202,5.98,11,2,229.18,576
2569.01,398,5.35,14,3,483.1,818
3889.46,451,8.98,13,8,194.9,696
2686.54,433,6.39,16,2,136.53,50
2478.34,415,6.09,13,2,129.3,610
1535.35,387,2.69,13,2,234.3,145
1600.62,243,5.06,12,9,382.16,762
1786.27,359,5.35,13,5,110.93,462
1316.08,212,5.49,11,5,357.56,587
1570.17,257,6.85,7,14,20.36,904
3264.06,494,6.5,7,3,215.28,478
1625.61,218,7.06,13,12,390.17,284
1752.84,210,8.24,16,12,175.98,398
1566.98,117,8.6,6,12,286.23,805
2695.46,338,7.89,11,2,110.44,919
4525.3,447,9.67,11,13,373.58,530
952.25,326,2.64,16,11,35.62,888
1788.15,353,3.97,9,10,427.75,445
1063.01,453,2.56,17,8,107.12,400
3780.26,433,7.36,16,5,438.46,465
4107.19,441,9.24,16,13,182.74,935
1113.96,184,4.33,15,7,364.11,965
1949.11,244,9.45,8,3,166.42,936
1730.5,450,2.95,16,8,453.9,100
1731.72,177,9.51,8,3,72.05,130
393.88,82,5.14,6,11,97.47,85
1103.53,225,3.26,8,9,251.58,116
3077.97,492,6.14,9,9,50.15,690
1814.98,420,4.43,16,2,106.03,931
2526.09,424,4.64,16,14,472.45,716
1176.42,71,4.8,10,9,488.48,806
2275.85,287,8.52,8,3,194.37,672
1757.41,207,6.54,11,7,462.41,729
938.86,87,4.83,16,14,276.96,530
1998.44,279,7.08,17,2,142.17,517
3487.98,414,7.87,10,6,354.18,191
914.55,100,4.54,8,12,332.86,405
3392.14,487,5.6,11,8,494.67,758
1257.54,313,3.41,11,14,139.87,520
1752.1,332,3.86,13,11,339.31,670
818.2,76,7.61,7,2,35.49,937
1375.2,275,3.86,6,3,65.69,640
2356.09,326,6.44,9,8,11.92,951
2991.54,335,7.82,12,7,499.74,722
1532.17,146,3.3,16,4,403.11,488
2396.86,333,6.75,15,11,395.49,580
2431.55,416,4.42,8,3,259.77,176
4456.51,497,9.72,8,11,157.03,254
2131.61,366,6.13,10,5,84.12,78
2941.11,353,8.54,10,4,149.49,494
1287.48,196,6.63,15,8,194.23,768
723.22,53,2.83,8,9,380.59,513
796.68,84,7.25,14,3,274.43,329
1915.88,241,9.64,9,11,47.97,200
638.78,98,7.01,8,8,18.83,289
921.4,66,8.64,16,9,60.14,315
2081.86,221,9.13,7,7,211.14,743
1908.34,269,4.21,15,7,467.26,154
1076.33,207,4.09,16,11,322.33,986
952.98,95,7.08,14,2,402.89,482
2567.84,422,5.58,9,5,238.52,962
1067.55,55,8.8,8,2,187.22,546
1368.57,148,9.25,12,5,63.12,489
2812.56,429,5.15,13,3,439.21,797
1975.91,282,4.28,16,12,393.75,734
777.55,86,8.35,7,14,92.38,207
1711.32,329,4.56,12,6,261.01,221
3573.23,398,8.67,17,11,248.81,543
2398.75,351,5.68,10,10,316.29,360
1985.22,230,7.51,16,12,473.63,452
917.59,144,3.22,10,13,294.09,718
1368.3,148,7.18,8,11,274.71,819
1150.42,237,5.89,10,4,34.66,725
1071.92,165,6.9,17,9,40.82,708
731.8,240,3.76,7,4,101.8,952
1919.23,302,8.03,9,7,25.91,715
4328.67,465,8.97,11,5,374.24,512
1507.63,210,4.13,6,9,364.43,416
929.44,305,3.22,15,12,76.67,599
1334.64,372,2.68,9,7,419.68,692
1132.2,177,7.31,11,9,85.85,919
771.27,67,7.05,14,2,157.58,304
2491.68,330,6.6,16,7,132,257
1480.69,272,4.24,16,2,192.43,499
965.7,103,5.43,7,2,134.79,144
835.11,107,6.96,16,9,249.59,909
2385.46,372,6.23,12,8,209.63,888
4591.74,409,9.91,11,4,493.42,527
482.73,223,3.52,7,7,37.4,732
2270.76,329,7.71,13,10,79.67,811
1053.47,163,5.53,12,8,35.88,239
2258.52,337,5.71,16,13,316.66,760
3266.2,480,7.88,10,4,36.71,533
3009.74,391,7.69,17,14,419.86,782
2446.14,200,9.93,10,7,260.85,585
1545.55,499,3.46,12,12,268.23,805
1073.8,176,3.28,14,5,285.18,472
1489.89,204,7.93,16,14,93.7,885
3047.58,435,6.84,14,4,106.87,689
1362.39,322,4.56,14,10,166.22,654
1401.04,153,3.1,11,11,300.81,861
1566.82,466,3.14,15,3,112.96,182
3877.65,442,9.21,11,2,67,104
1807.44,348,3.94,8,3,485.36,559
1313.39,295,4.93,6,8,20.77,719
1433.99,225,4.2,12,11,403.32,590
1362.1,88,5.16,9,2,396.14,459
908.8,219,3.02,6,7,155.63,260
1925.75,296,6.39,13,8,76.46,715
431.74,75,3.01,17,10,81.36,342
3743.93,404,8.5,11,9,351.74,783
1567.45,355,4.25,11,7,324.98,164
3700.09,458,6.55,7,4,393.55,998
4271.39,457,9.1,6,9,469.37,719
927.68,62,7.38,7,8,349.04,308
2571.1,365,6.5,9,4,86.37,812
2533.14,440,4.93,7,10,129.29,171
2424.2,362,5,6,13,422.67,348
643.18,85,7.52,12,3,112.56,824
2083.86,222,9.96,16,4,45.54,430
1028.57,69,7.46,16,3,354.61,610
2575.78,370,6.68,17,14,207.24,938
2693.19,313,7.98,13,2,460.82,890
3165.51,449,5.99,11,5,328.62,550
615.49,191,2.95,9,6,54.31,346
3107.39,420,6.72,11,14,474.45,411
1778.06,192,9.68,8,7,136.69,638
800.3,141,3.81,17,6,175.23,512
2815.62,403,7.68,13,2,207.11,487
1567.28,371,4.01,15,4,35.1,176
2404.4,337,6.52,7,2,253.29,246
1186.23,264,3.23,10,12,70.43,270
2950.07,496,5.88,6,6,206.48,140
2930.74,391,8.17,11,6,181.85,460
803.37,100,5.11,7,13,388.69,57
1888.87,202,7.49,9,12,403.55,593
1862.18,235,8.47,11,14,85.17,517
1123.52,112,9.45,15,7,189.61,369
1231.43,239,4.26,16,9,192.94,443
867.49,174,5.49,13,11,84.19,318
1304.63,199,3.64,17,13,401.24,240
3678.08,363,9.94,13,2,356.54,910
1191.31,107,9.45,16,5,103.29,724
2527.46,391,6.55,11,11,189.69,110
3152.05,354,8.82,9,12,61.84,487
1928.29,229,6.41,13,2,317.82,313
1558.1,219,7.18,13,10,69.47,846
1768,375,3.17,15,12,493.11,144
2635.07,320,8.16,6,8,392.53,602
905.28,103,3.46,9,8,201.22,975
4164.28,493,8.7,9,13,293.5,519
1832.94,150,8.37,12,6,456.56,710
2693.92,313,7.82,16,8,281.51,765
360.83,102,2.77,12,13,95.5,828
1032.2,109,4.77,16,3,195.56,563
1022.05,157,4.47,13,14,423.14,739
1088,54,5.2,16,5,325.66,986
1059.87,152,3.16,10,8,328.85,243
2704.19,245,9.53,12,4,434.74,531
2486.36,311,6.65,13,3,448.05,948
2032.44,414,4.79,14,11,460.7,385
1991.45,421,5.48,8,3,56.48,484
2444.88,399,5.85,8,14,276.62,245
1199.3,96,7,9,2,372.85,904
3139.38,404,6.37,10,6,380.89,298
3914.04,360,9.4,15,13,307.29,547
2844.16,473,6.23,6,7,91.73,261
3835.95,357,9.94,12,7,400.74,714
1990.4,193,8.89,14,10,362.85,719
897.27,318,4.06,13,5,52.21,515
3809.66,419,9.48,10,2,237.27,923
626.48,173,3.37,9,7,95.25,700
1662,155,8.63,17,6,175.36,270
1128.9,207,5.35,12,11,18.86,322
1955.26,196,9.08,10,7,206.16,203
1876.15,194,9.01,12,4,279.44,298
1372.91,169,8.54,17,3,313.6,328
2910.33,368,8.43,6,7,335.11,489
1693.69,324,4.79,6,14,419.78,997
509.63,141,3.11,15,2,115.58,865
833.94,107,5.52,8,8,69.04,325
2503.25,488,3.8,16,8,427.25,563
3029.76,395,7.71,7,11,86.74,137
1904.45,278,5.1,7,14,487.63,848
2330.22,166,9.82,12,8,422.84,972
2611.42,367,7.31,17,13,255.43,691
3466.41,328,8.67,15,12,490.9,554
304.47,176,3.49,7,11,57.71,639
3570.59,442,8.97,16,2,158.5,821
4587.33,445,9.42,9,5,322.73,290
1216.71,178,6.15,7,14,181.5,702
1240.07,107,7.05,11,8,464.9,789
1551.93,171,8.24,13,12,42.16,724
833.74,50,3.81,15,10,279.21,285
1987.81,288,6.27,9,6,299.52,177
2225.45,339,5.49,10,14,329.84,552
700.1,145,3.6,9,3,135.28,249
545.99,175,5.26,8,8,188.64,951
808.33,167,3.01,10,11,423.4,592
581.57,97,2.69,14,2,105.52,551
892.18,138,3.51,13,8,415.17,699
3036.45,286,9.72,13,7,285.7,541
3142.09,422,6.62,13,8,383.47,70
4587.04,434,9.74,17,14,359.67,283
1553.05,321,5.74,13,11,111.68,763
1548.65,238,4.84,12,4,288.72,840
2006.16,241,6.3,13,4,435.18,692
2763.78,496,5.8,16,8,221.74,465
915.48,118,3.29,13,14,483.63,197
2544.21,327,7.31,13,3,231.59,78
1721.66,398,4.12,17,2,79.96,410
2218.71,296,7.15,15,10,200.82,357
1563.69,125,7.38,12,10,476.33,932
815.32,203,3.64,17,8,166.66,991
1080.77,193,2.96,6,8,435.37,211
4145.84,484,8.36,9,4,441.81,918
891.59,135,5.95,9,11,181.59,901
814.3,234,2.94,10,3,50.8,110
3682.8,334,9.96,15,12,365.03,174
698.14,269,2.93,11,8,162.64,505
1229.96,118,7.71,9,10,393.63,120
1051.9,96,9.88,7,2,226.9,887
910.99,143,4.29,11,14,247.78,956
1172.27,287,3.57,13,5,391.18,925
1639.41,495,3.41,13,7,197.36,515
1149.71,253,4.77,12,8,227.13,292
1688.96,449,3.26,11,11,194.33,539
2126.97,267,7.69,7,8,190,810
1594.77,481,2.97,12,11,267.71,270
2615.13,390,6.32,16,3,406.31,522
981.9,88,9.98,17,5,187.27,582
1440.64,149,8.6,10,6,266.88,543
2997.79,338,7.11,11,13,338.66,948
1721.41,303,4.8,15,2,142.03,131
1832.05,271,7.18,13,2,145.99,905
3090.92,406,6.45,13,11,467.37,928
1105,72,5.7,8,4,364.53,571
1237.5,299,3.48,17,11,292.82,972
693.51,59,9.15,17,4,327.38,61
1235.65,295,5.87,12,13,24.36,312
2056.69,374,3.96,6,9,312.87,706
1056.64,149,5.26,6,10,259.66,498
2186.01,339,5.61,12,12,277.42,241
1959.46,229,8.71,15,13,186.12,811
1779.7,272,8,14,2,49.92,163
3238.1,443,8.27,12,12,104.74,75
1139.86,299,2.58,15,3,475.86,832
1476.76,196,5.62,10,11,210.26,548
3356.53,491,6.11,13,3,238.67,557
405.71,145,2.64,7,5,35.83,594
964.59,306,4.45,14,3,28.41,111
3401.57,374,8.2,11,8,361.42,278
831.88,53,3.53,14,14,273.67,864
964.07,65,6.51,7,10,259.27,656
1404.84,329,4.11,8,8,129.13,84
1412.93,385,2.59,17,13,374.93,754
1279.41,296,4.31,13,7,92.44,505
3112.92,307,9.82,6,11,103.07,637
3822.05,433,8.51,15,2,235.75,940
1972.84,209,9.7,12,12,150.28,551
2271.32,389,6.16,12,11,131.26,810
993.5,201,3.32,6,10,326.17,644
2927.85,445,6.61,14,6,328.98,74
2098.8,227,5.91,13,12,414.01,618
1849.22,212,8.83,9,6,214.68,81
1417.73,429,3.24,15,7,45.81,880
538.47,82,6.16,16,10,144.1,61
2162.28,466,3.63,10,14,490.2,368
2626.8,494,4.94,7,9,302.17,894
2293.46,228,8.03,14,9,357.77,653
2568.96,476,6.07,17,9,13.61,50
886.24,150,5.32,17,2,263.92,484
1604.14,317,5.46,11,2,28.39,887
2272.11,372,5.95,8,9,288.92,185
1861.35,114,8.39,17,6,461.18,245
4529.09,466,9.19,12,10,484.53,182
2167.26,217,9.67,14,3,274.87,135
3611.98,379,8.4,8,10,234.52,525
1260.6,92,4.87,7,13,473.06,856
971.89,93,7.66,12,9,340.07,840
1641.99,334,5.78,12,10,41.8,373
2222.33,446,4.41,9,5,238.21,229
683.94,61,8.81,16,2,127.72,565
899.92,144,2.79,14,2,240.2,687
3142.47,351,9.26,13,6,233.18,224
2916.44,435,5.96,6,3,295.25,812
1808.28,302,7.28,6,9,184.82,70
2056,291,7.45,10,11,90.49,154
958.07,84,9.21,11,12,256.82,627
2263.92,264,7.28,8,6,416.8,492
2949.02,386,7.1,14,6,335.37,824
866.7,139,3,17,3,175.8,98
2271.87,313,6.39,15,8,468.41,577
711.78,142,3.63,11,14,456.98,194
3278.45,459,8.03,9,9,112.58,389
1041.59,139,6.34,17,11,29.31,811
3425.14,467,7.6,12,14,373.24,904
923.66,164,2.81,13,2,415.53,403
1329.49,154,3.14,14,3,484.25,124
3773.86,440,7.87,16,11,446.02,851
1352.45,245,3.04,11,5,304.26,978
987.52,363,3.03,11,6,269.73,843
351.09,163,2.59,13,14,23.64,627
1542.9,124,9.67,17,3,130.86,686
3466.31,462,8.03,10,2,235.21,368
2653.79,425,5.15,8,10,317.97,136
2369.75,469,4.72,17,2,283.05,602
1873.39,266,5.12,8,14,373.89,747
2911.72,326,8.31,11,5,147.09,915
2516.98,298,7.46,7,3,286.83,941
707.25,213,3.89,11,12,53.19,896
1950.51,443,3.81,11,5,212.7,827
1617.91,406,3.24,13,9,377.58,832
3643.51,457,7.45,12,9,349.77,91
